Handle,Title,Category type,Variant Price
dabur-vatika-spanish-garlic-natural-hair-growth-shampoo-for-weak-falling-hair-200ml,"Dabur Vatika Spanish Garlic Natural Hair Growth Shampoo, For Weak & Falling Hair, 200ml",0,230
dabur-vatika-spanish-garlic-natural-hair-growth-shampoo-for-weak-falling-hair-400ml,"Dabur Vatika Spanish Garlic Natural Hair Growth Shampoo, For Weak & Falling Hair, 400ml",0,415
dove-nourishing-oil-care-shampoo-frizzy-dry-hair-175ml,"Dove Nourishing Oil Care Shampoo, Frizzy Dry Hair, 175ml",0,240
dove-nutritive-solution-daily-shine-shampoo-for-dull-hair-175ml,"Dove Nutritive Solution Daily Shine Shampoo, For Dull Hair, 175ml",0,220
dove-nutritive-solutions-daily-shine-shampoo-for-dull-hair-360ml,"Dove Nutritive Solutions Daily Shine Shampoo, For Dull Hair, 360ml",0,399
dove-nutritive-solutions-dryness-care-shampoo-360ml,"Dove Nutritive Solutions Dryness Care Shampoo, 360ml",0,440
dove-nutritive-solutions-dryness-care-shampoo-for-dry-hair-175ml,"Dove Nutritive Solutions Dryness Care Shampoo, For Dry Hair, 175ml",0,220
dove-nutritive-solutions-hair-fall-rescue-shampoo-for-weak-hair-prone-to-hair-fall-700ml,"Dove Nutritive Solutions Hair Fall Rescue Shampoo, For Weak Hair Prone To Hair Fall, 700ml",0,700
dove-nutritive-solutions-intense-repair-shampoo-175ml,Dove Nutritive Solutions Intense Repair Shampoo 175ml,0,240
dove-nutritive-solutions-intense-repair-shampoo-700ml,Dove Nutritive Solutions Intense Repair Shampoo 700ml,0,720
Shampoo Finesse ,,3,
finesse-48-hour-clean-2-in-1-shampoo-conditioner-for-all-hair-types-15oz,"Finesse 48 Hour Clean 2-In-1 Shampoo + Conditioner, For All Hair Types, 15oz",0,565
Shampoo Head and Shoulders,,3,
head-shoulders-2-in-1-classic-clean-anti-dandruff-shampoo-conditioner-190ml,"Head & Shoulders 2-In-1 Classic Clean Anti-Dandruff Shampoo + Conditioner, 190ml",0,249
head-shoulders-2-in-1-menthol-refresh-anti-dandruff-shampoo-conditioner-190ml,"Head & Shoulders 2-In-1 Menthol Refresh Anti-Dandruff Shampoo + Conditioner, 190ml",0,249
head-shoulders-2-in-1-smooth-silky-anti-dandruff-shampoo-conditioner-190ml,"Head & Shoulders 2-In-1 Smooth Silky Anti-Dandruff Shampoo + Conditioner, 190ml",0,250
head-shoulders-anti-hairfall-anti-dandruff-shampoo-185ml,"Head & Shoulders Anti-Hairfall Anti-Dandruff Shampoo, 185ml",0,199
head-shoulders-charcoal-detox-anti-dandruff-shampoo-200ml,"Head & Shoulders Charcoal Detox Anti-Dandruff Shampoo, 200ml",0,249
head-shoulders-classic-clean-anti-dandruff-shampoo-for-normal-hair-185ml,"Head & Shoulders Classic Clean Anti-Dandruff Shampoo, For Normal Hair, 185ml",0,199
head-shoulders-dry-scalp-care-anti-dandruff-shampoo-360ml,"Head & Shoulders Dry Scalp Care Anti-Dandruff Shampoo, 360ml",0,420
head-shoulders-dry-scalp-care-anti-dandruff-shampoo-with-almond-oil-185ml,"Head & Shoulders Dry Scalp Care Anti-Dandruff Shampoo, With Almond Oil, 185ml",0,199
head-shoulders-itchy-scalp-care-anti-dandruff-shampoo-185ml,"Head & Shoulders Itchy Scalp Care Anti-Dandruff Shampoo, 185ml",0,220
head-shoulders-lemon-fresh-anti-dandruff-shampoo-185ml,"Head & Shoulders Lemon Fresh Anti-Dandruff Shampoo, 185ml",0,199
head-shoulders-lemon-fresh-anti-dandruff-shampoo-for-greasy-hair-360ml,"Head & Shoulders Lemon Fresh Anti-Dandruff Shampoo, For Greasy Hair, 360ml",0,420
head-shoulders-lemon-fresh-shampoo-for-greasy-hair-400ml,"Head & Shoulders Lemon Fresh Shampoo, For Greasy Hair, 400ml",0,400
head-shoulders-men-hairfall-defense-anti-dandruff-shampoo-185ml,"Head & Shoulders Men Hairfall Defense Anti-Dandruff Shampoo, 185ml",0,199
head-shoulders-menthol-refresh-anti-dandruff-shampoo-185ml,Head & Shoulders Menthol Refresh Anti-Dandruff Shampoo 185ml,0,199
head-shoulders-menthol-refresh-anti-dandruff-shampoo-360ml,"Head & Shoulders Menthol Refresh Anti-Dandruff Shampoo, 360ml",0,420
head-shoulders-silky-black-anti-dandruff-shampoo-185ml,"Head & Shoulders Silky Black Anti-Dandruff Shampoo, 185ml",0,199
head-shoulders-smooth-silky-anti-dandruff-shampoo-185ml,"Head & Shoulders Smooth & Silky Anti-Dandruff Shampoo, 185ml",0,220
head-shoulders-smooth-silky-anti-dandruff-shampoo-360ml,"Head & Shoulders Smooth & Silky Anti-Dandruff Shampoo, 360ml",0,420
Shampoo Herbal Essences,,3,
herbal-essences-bio-renew-clean-white-strawberry-sweet-mint-shampoo-400ml,"Herbal Essences Bio Renew Clean White Strawberry & Sweet Mint Shampoo, 400ml",0,585
herbal-essences-bio-renew-hydrate-coconut-milk-shampoo-400ml,"Herbal Essences Bio Renew Hydrate Coconut Milk Shampoo, 400ml",0,585
herbal-essences-bio-renew-repair-argan-oil-of-morocco-shampoo-400ml,"Herbal Essences Bio Renew Repair Argan Oil Of Morocco Shampoo, 400ml",0,585
Shampoo Himalaya,,3,
himalaya-anti-dandruff-gentle-clean-shampoo-tea-tree-rosemary-200ml,"Himalaya Anti-Dandruff Gentle Clean Shampoo, Tea Tree Rosemary, 200ml",0,210
himalaya-anti-dandruff-gentle-clean-shampoo-with-tea-tree-rosemary-400ml,"Himalaya Anti-Dandruff Gentle Clean Shampoo, With Tea Tree & Rosemary, 400ml",0,380
himalaya-softness-shine-daily-care-2-in-1-shampoo-with-olive-oil-200ml,"Himalaya Softness & Shine Daily Care 2-In-1 Shampoo, With Olive Oil, 200ml",0,210
himalaya-volume-thickness-shampoo-coconut-oil-for-flat-limp-hair-200ml,"Himalaya Volume & Thickness Shampoo, Coconut Oil, For Flat & Limp Hair, 200ml",0,210
himalaya-volume-thickness-shampoo-coconut-oil-for-flat-limp-hair-400ml,"Himalaya Volume & Thickness Shampoo, Coconut Oil, For Flat & Limp Hair, 400ml",0,380
Shampoo John Frieda,,3,
john-frieda-frizz-ease-flawlessly-straight-shampoo-with-keratin-250ml,"John Frieda Frizz-Ease Flawlessly Straight Shampoo, With Keratin, 250ml",0,1250
Shampoo Johnsons,,3,
johnsons-no-more-tears-baby-shampoo-300ml,"Johnson's No More Tears Baby Shampoo, 300ml",0,300
johnsons-no-more-tears-baby-shampoo-500ml,"Johnson's No More Tears Baby Shampoo, 500ml",0,450
Shampoo Keune,,3,
keune-care-absolute-volume-shampoo-normal-to-fine-hair-300ml,"Keune Care Absolute Volume Shampoo, Normal To Fine Hair, 300ml",0,1050
keune-care-color-brillianz-shampoo-for-color-treated-hair-300ml,"Keune Care Color Brillianz Shampoo, For Color Treated Hair, 300ml",0,1050
keune-care-derma-activate-shampoo-300ml,"Keune Care Derma Activate Shampoo, 300ml",0,1050
keune-care-derma-activate-shampoo-300ml-1,"Keune Care Derma Activate Shampoo, 300ml",0,1050
keune-care-derma-exfoliate-shampoo-300ml,"Keune Care Derma Exfoliate Shampoo, 300ml",0,1050
keune-care-derma-exfoliate-shampoo-300ml-1,"Keune Care Derma Exfoliate Shampoo, 300ml",0,1050
keune-care-derma-regulate-shampoo-300ml,"Keune Care Derma Regulate Shampoo, 300ml",0,1050
keune-care-derma-regulate-shampoo-300ml-1,"Keune Care Derma Regulate Shampoo, 300ml",0,1050
keune-care-satin-oil-shampoo-300ml,"Keune Care Satin Oil Shampoo, 300ml",0,1100
keune-care-vital-nutrition-shampoo-dry-damaged-hair-300ml,"Keune Care Vital Nutrition Shampoo, Dry/Damaged Hair, 300ml",0,985
keune-curl-control-shampoo-300ml,"Keune Curl Control Shampoo, 300ml",0,1175
keune-daily-use-shampoo-250ml,"Keune Daily Use Shampoo, 250ml",0,765
Shampoo Lifebuoy,,3,
lifebuoy-naturally-long-strength-shampoo-amla-reetha-shikakai-375ml,"Lifebuoy Naturally Long Strength Shampoo, Amla Reetha & Shikakai, 375ml",0,299
lifebuoy-strong-long-herbal-shampoo-175ml,Lifebuoy Strong & Long Herbal Shampoo 175ml,0,165
lifebuoy-strong-long-herbal-shampoo-650ml,Lifebuoy Strong & Long Herbal Shampoo 650ml,0,499
lifebuoy-strong-long-silky-soft-shampoo-175ml,Lifebuoy Strong & Long Silky Soft Shampoo 175ml,0,165
lifebuoy-strong-long-silky-soft-shampoo-375ml,Lifebuoy Strong & Long Silky Soft Shampoo 375ml,0,299
lifebuoy-strong-long-silky-soft-shampoo-650ml,Lifebuoy Strong & Long Silky Soft Shampoo 650ml,0,499
lifebuoy-strong-thick-health-shampoo-175ml,Lifebuoy Strong & Thick Health Shampoo 175ml,0,165
lifebuoy-strong-thick-health-shampoo-375ml,Lifebuoy Strong & Thick Health Shampoo 375ml,0,299
lifebuoy-strong-thick-health-shampoo-650ml,Lifebuoy Strong & Thick Health Shampoo 650ml,0,499
Shampoo Loreal,,3,
loreal-paris-6-oil-nourish-scalp-hair-nourishing-shampoo-for-all-hair-types-175ml,"L'Oreal Paris 6 Oil Nourish Scalp + Hair Nourishing Shampoo, For All Hair Types, 175ml",0,239
loreal-paris-6-oil-nourish-scalp-hair-nourishing-shampoo-for-all-hair-types-360ml,"L'Oreal Paris 6 Oil Nourish Scalp + Hair Nourishing Shampoo, For All Hair Types, 360ml",0,409
loreal-paris-6-oil-nourish-scalp-hair-nourishing-shampoo-for-all-hair-types-640ml-10-extra,"L'Oreal Paris 6 Oil Nourish Scalp + Hair Nourishing Shampoo, For All Hair Types, 640ml 10% Extra",0,709
loreal-paris-colour-protect-protecting-shampoo-for-coloured-hair-175ml,"L'Oreal Paris Colour Protect Protecting Shampoo, For Coloured Hair, 175ml",0,239
loreal-paris-dream-long-restoring-shampoo-weakened-long-hair-175ml,"L'Oreal Paris Dream Long Restoring Shampoo, Weakened Long Hair, 175ml",0,239
loreal-paris-fall-resist-3x-anti-hair-fall-shampoo-175ml,L'Oreal Paris Fall Resist 3x Anti Hair-Fall Shampoo 175ml,0,239
loreal-paris-keratin-straight-72h-straightening-shampoo-for-unruly-wavy-to-frizzy-hair-175ml,"L'Oreal Paris Keratin Straight 72H Straightening Shampoo, For Unruly Wavy To Frizzy Hair, 175ml",0,239
loreal-paris-keratin-straight-72h-straightening-shampoo-for-unruly-wavy-to-frizzy-hair-360ml,"L'Oreal Paris Keratin Straight 72H Straightening Shampoo, For Unruly Wavy To Frizzy Hair, 360ml",0,409
loreal-paris-nutri-gloss-mirror-shine-shampoo-for-normal-or-dull-hair-175ml,"L'Oreal Paris Nutri-Gloss Mirror Shine Shampoo, For Normal Or Dull Hair, 175ml",0,239
